Agrupacion	Seccion	Votos
SOCIALISTA	Zapala	587
MOVIMIENTO POPULAR NEUQUINO	Zapala	8913
MOVIMIENTO LIBRES DEL SUR	Zapala	1204
FRENTE DE TODOS	Zapala	4309
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD	Zapala	1834
COALICIÓN CÍVICA - AFIRMACIÓN PARA UNA REPÚBLICA IGUALITARIA (ARI)	Zapala	1777
CAMBIA NEUQUÉN	Zapala	5554
VOTOS EN BLANCO 	Zapala	1827
SOCIALISTA	Picunches	72
MOVIMIENTO POPULAR NEUQUINO	Picunches	1901
MOVIMIENTO LIBRES DEL SUR	Picunches	239
FRENTE DE TODOS	Picunches	619
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD	Picunches	218
COALICIÓN CÍVICA - AFIRMACIÓN PARA UNA REPÚBLICA IGUALITARIA (ARI)	Picunches	265
CAMBIA NEUQUÉN	Picunches	884
VOTOS EN BLANCO 	Picunches	383
SOCIALISTA	Picún Leufú	41
MOVIMIENTO POPULAR NEUQUINO	Picún Leufú	1371
MOVIMIENTO LIBRES DEL SUR	Picún Leufú	159
FRENTE DE TODOS	Picún Leufú	775
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD	Picún Leufú	152
COALICIÓN CÍVICA - AFIRMACIÓN PARA UNA REPÚBLICA IGUALITARIA (ARI)	Picún Leufú	208
CAMBIA NEUQUÉN	Picún Leufú	376
VOTOS EN BLANCO 	Picún Leufú	173
SOCIALISTA	Pehuenches	246
MOVIMIENTO POPULAR NEUQUINO	Pehuenches	3438
MOVIMIENTO LIBRES DEL SUR	Pehuenches	3912
FRENTE DE TODOS	Pehuenches	2675
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD	Pehuenches	533
COALICIÓN CÍVICA - AFIRMACIÓN PARA UNA REPÚBLICA IGUALITARIA (ARI)	Pehuenches	733
CAMBIA NEUQUÉN	Pehuenches	2488
VOTOS EN BLANCO 	Pehuenches	857
SOCIALISTA	Ñorquín	52
MOVIMIENTO POPULAR NEUQUINO	Ñorquín	1916
MOVIMIENTO LIBRES DEL SUR	Ñorquín	89
FRENTE DE TODOS	Ñorquín	707
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD	Ñorquín	137
COALICIÓN CÍVICA - AFIRMACIÓN PARA UNA REPÚBLICA IGUALITARIA (ARI)	Ñorquín	147
CAMBIA NEUQUÉN	Ñorquín	313
VOTOS EN BLANCO 	Ñorquín	249
SOCIALISTA	Minas	108
MOVIMIENTO POPULAR NEUQUINO	Minas	3036
MOVIMIENTO LIBRES DEL SUR	Minas	165
FRENTE DE TODOS	Minas	702
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD	Minas	280
COALICIÓN CÍVICA - AFIRMACIÓN PARA UNA REPÚBLICA IGUALITARIA (ARI)	Minas	200
CAMBIA NEUQUÉN	Minas	641
VOTOS EN BLANCO 	Minas	491
SOCIALISTA	Los Lagos	170
MOVIMIENTO POPULAR NEUQUINO	Los Lagos	2254
MOVIMIENTO LIBRES DEL SUR	Los Lagos	305
FRENTE DE TODOS	Los Lagos	1290
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD	Los Lagos	585
COALICIÓN CÍVICA - AFIRMACIÓN PARA UNA REPÚBLICA IGUALITARIA (ARI)	Los Lagos	353
CAMBIA NEUQUÉN	Los Lagos	2858
VOTOS EN BLANCO 	Los Lagos	628
SOCIALISTA	Loncopué	93
MOVIMIENTO POPULAR NEUQUINO	Loncopué	2129
MOVIMIENTO LIBRES DEL SUR	Loncopué	200
FRENTE DE TODOS	Loncopué	725
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD	Loncopué	309
COALICIÓN CÍVICA - AFIRMACIÓN PARA UNA REPÚBLICA IGUALITARIA (ARI)	Loncopué	200
CAMBIA NEUQUÉN	Loncopué	614
VOTOS EN BLANCO 	Loncopué	419
SOCIALISTA	Lácar	591
MOVIMIENTO POPULAR NEUQUINO	Lácar	4487
MOVIMIENTO LIBRES DEL SUR	Lácar	813
FRENTE DE TODOS	Lácar	3906
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD	Lácar	1647
COALICIÓN CÍVICA - AFIRMACIÓN PARA UNA REPÚBLICA IGUALITARIA (ARI)	Lácar	1310
CAMBIA NEUQUÉN	Lácar	8129
VOTOS EN BLANCO 	Lácar	1668
SOCIALISTA	Huiliches	559
MOVIMIENTO POPULAR NEUQUINO	Huiliches	4669
MOVIMIENTO LIBRES DEL SUR	Huiliches	594
FRENTE DE TODOS	Huiliches	1710
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD	Huiliches	658
COALICIÓN CÍVICA - AFIRMACIÓN PARA UNA REPÚBLICA IGUALITARIA (ARI)	Huiliches	441
CAMBIA NEUQUÉN	Huiliches	2004
VOTOS EN BLANCO 	Huiliches	758
SOCIALISTA	Confluencia	5293
MOVIMIENTO POPULAR NEUQUINO	Confluencia	64769
MOVIMIENTO LIBRES DEL SUR	Confluencia	13222
FRENTE DE TODOS	Confluencia	43281
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD	Confluencia	23057
COALICIÓN CÍVICA - AFIRMACIÓN PARA UNA REPÚBLICA IGUALITARIA (ARI)	Confluencia	45532
CAMBIA NEUQUÉN	Confluencia	57898
VOTOS EN BLANCO 	Confluencia	13407
SOCIALISTA	Collón Curá	57
MOVIMIENTO POPULAR NEUQUINO	Collón Curá	1327
MOVIMIENTO LIBRES DEL SUR	Collón Curá	108
FRENTE DE TODOS	Collón Curá	765
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD	Collón Curá	87
COALICIÓN CÍVICA - AFIRMACIÓN PARA UNA REPÚBLICA IGUALITARIA (ARI)	Collón Curá	194
CAMBIA NEUQUÉN	Collón Curá	267
VOTOS EN BLANCO 	Collón Curá	164
SOCIALISTA	Chos Malal	139
MOVIMIENTO POPULAR NEUQUINO	Chos Malal	5010
MOVIMIENTO LIBRES DEL SUR	Chos Malal	380
FRENTE DE TODOS	Chos Malal	1395
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD	Chos Malal	517
COALICIÓN CÍVICA - AFIRMACIÓN PARA UNA REPÚBLICA IGUALITARIA (ARI)	Chos Malal	689
CAMBIA NEUQUÉN	Chos Malal	1151
VOTOS EN BLANCO 	Chos Malal	529
SOCIALISTA	Catán Lil	192
MOVIMIENTO POPULAR NEUQUINO	Catán Lil	613
MOVIMIENTO LIBRES DEL SUR	Catán Lil	30
FRENTE DE TODOS	Catán Lil	153
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD	Catán Lil	39
COALICIÓN CÍVICA - AFIRMACIÓN PARA UNA REPÚBLICA IGUALITARIA (ARI)	Catán Lil	25
CAMBIA NEUQUÉN	Catán Lil	75
VOTOS EN BLANCO 	Catán Lil	62
SOCIALISTA	Añelo	118
MOVIMIENTO POPULAR NEUQUINO	Añelo	2749
MOVIMIENTO LIBRES DEL SUR	Añelo	543
FRENTE DE TODOS	Añelo	1753
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD	Añelo	562
COALICIÓN CÍVICA - AFIRMACIÓN PARA UNA REPÚBLICA IGUALITARIA (ARI)	Añelo	661
CAMBIA NEUQUÉN	Añelo	1887
VOTOS EN BLANCO 	Añelo	815
SOCIALISTA	Aluminé	135
MOVIMIENTO POPULAR NEUQUINO	Aluminé	2595
MOVIMIENTO LIBRES DEL SUR	Aluminé	367
FRENTE DE TODOS	Aluminé	928
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD	Aluminé	359
COALICIÓN CÍVICA - AFIRMACIÓN PARA UNA REPÚBLICA IGUALITARIA (ARI)	Aluminé	412
CAMBIA NEUQUÉN	Aluminé	928
VOTOS EN BLANCO 	Aluminé	434
