Comuna	Partido Descripcion	Total Votos
COMUNA 13	VOTOS RECURRIDOS	0
COMUNA 14	VOTOS RECURRIDOS	0
COMUNA 12	VOTOS RECURRIDOS	0
COMUNA 4	VOTOS RECURRIDOS	0
COMUNA 11	VOTOS RECURRIDOS	0
COMUNA 7	VOTOS RECURRIDOS	0
COMUNA 15	VOTOS RECURRIDOS	0
COMUNA 6	VOTOS RECURRIDOS	0
COMUNA 1	VOTOS RECURRIDOS	0
COMUNA 5	VOTOS RECURRIDOS	0
COMUNA 10	VOTOS RECURRIDOS	0
COMUNA 3	VOTOS RECURRIDOS	0
COMUNA 9	VOTOS RECURRIDOS	0
COMUNA 8	VOTOS RECURRIDOS	0
COMUNA 2	VOTOS RECURRIDOS	0
COMUNA 13	VOTOS NULOS	2825
COMUNA 14	VOTOS NULOS	2844
COMUNA 12	VOTOS NULOS	3393
COMUNA 4	VOTOS NULOS	3412
COMUNA 11	VOTOS NULOS	3204
COMUNA 7	VOTOS NULOS	3298
COMUNA 15	VOTOS NULOS	3163
COMUNA 6	VOTOS NULOS	2581
COMUNA 1	VOTOS NULOS	2641
COMUNA 5	VOTOS NULOS	2640
COMUNA 10	VOTOS NULOS	2940
COMUNA 3	VOTOS NULOS	2706
COMUNA 9	VOTOS NULOS	2897
COMUNA 8	VOTOS NULOS	3172
COMUNA 2	VOTOS NULOS	1612
COMUNA 13	VOTOS EN BLANCO	17597
COMUNA 14	VOTOS EN BLANCO	13975
COMUNA 12	VOTOS EN BLANCO	18852
COMUNA 4	VOTOS EN BLANCO	25223
COMUNA 11	VOTOS EN BLANCO	15781
COMUNA 7	VOTOS EN BLANCO	20532
COMUNA 15	VOTOS EN BLANCO	15908
COMUNA 6	VOTOS EN BLANCO	13424
COMUNA 1	VOTOS EN BLANCO	18838
COMUNA 5	VOTOS EN BLANCO	17033
COMUNA 10	VOTOS EN BLANCO	15145
COMUNA 3	VOTOS EN BLANCO	18617
COMUNA 9	VOTOS EN BLANCO	16065
COMUNA 8	VOTOS EN BLANCO	19432
COMUNA 2	VOTOS EN BLANCO	10773
COMUNA 13	VOTOS DE IDENTIDAD IMPUGNADA	0
COMUNA 14	VOTOS DE IDENTIDAD IMPUGNADA	0
COMUNA 12	VOTOS DE IDENTIDAD IMPUGNADA	0
COMUNA 4	VOTOS DE IDENTIDAD IMPUGNADA	0
COMUNA 11	VOTOS DE IDENTIDAD IMPUGNADA	0
COMUNA 7	VOTOS DE IDENTIDAD IMPUGNADA	0
COMUNA 15	VOTOS DE IDENTIDAD IMPUGNADA	0
COMUNA 6	VOTOS DE IDENTIDAD IMPUGNADA	0
COMUNA 1	VOTOS DE IDENTIDAD IMPUGNADA	0
COMUNA 5	VOTOS DE IDENTIDAD IMPUGNADA	0
COMUNA 10	VOTOS DE IDENTIDAD IMPUGNADA	0
COMUNA 3	VOTOS DE IDENTIDAD IMPUGNADA	0
COMUNA 9	VOTOS DE IDENTIDAD IMPUGNADA	0
COMUNA 8	VOTOS DE IDENTIDAD IMPUGNADA	0
COMUNA 2	VOTOS DE IDENTIDAD IMPUGNADA	0
COMUNA 13	UNITE POR LA LIBERTAD Y LA DIG	2736
COMUNA 14	UNITE POR LA LIBERTAD Y LA DIG	4737
COMUNA 12	UNITE POR LA LIBERTAD Y LA DIG	2711
COMUNA 4	UNITE POR LA LIBERTAD Y LA DIG	2344
COMUNA 11	UNITE POR LA LIBERTAD Y LA DIG	5253
COMUNA 7	UNITE POR LA LIBERTAD Y LA DIG	2589
COMUNA 15	UNITE POR LA LIBERTAD Y LA DIG	4311
COMUNA 6	UNITE POR LA LIBERTAD Y LA DIG	4484
COMUNA 1	UNITE POR LA LIBERTAD Y LA DIG	2272
COMUNA 5	UNITE POR LA LIBERTAD Y LA DIG	2249
COMUNA 10	UNITE POR LA LIBERTAD Y LA DIG	4779
COMUNA 3	UNITE POR LA LIBERTAD Y LA DIG	2288
COMUNA 9	UNITE POR LA LIBERTAD Y LA DIG	4917
COMUNA 8	UNITE POR LA LIBERTAD Y LA DIG	3947
COMUNA 2	UNITE POR LA LIBERTAD Y LA DIG	1703
COMUNA 13	FRENTE IZQ Y DE TRAB-UNIDAD	19375
COMUNA 14	FRENTE IZQ Y DE TRAB-UNIDAD	17782
COMUNA 12	FRENTE IZQ Y DE TRAB-UNIDAD	21418
COMUNA 4	FRENTE IZQ Y DE TRAB-UNIDAD	17796
COMUNA 11	FRENTE IZQ Y DE TRAB-UNIDAD	18195
COMUNA 7	FRENTE IZQ Y DE TRAB-UNIDAD	17442
COMUNA 15	FRENTE IZQ Y DE TRAB-UNIDAD	21477
COMUNA 6	FRENTE IZQ Y DE TRAB-UNIDAD	18480
COMUNA 1	FRENTE IZQ Y DE TRAB-UNIDAD	14871
COMUNA 5	FRENTE IZQ Y DE TRAB-UNIDAD	20006
COMUNA 10	FRENTE IZQ Y DE TRAB-UNIDAD	16336
COMUNA 3	FRENTE IZQ Y DE TRAB-UNIDAD	17589
COMUNA 9	FRENTE IZQ Y DE TRAB-UNIDAD	14085
COMUNA 8	FRENTE IZQ Y DE TRAB-UNIDAD	11406
COMUNA 2	FRENTE IZQ Y DE TRAB-UNIDAD	9530
COMUNA 13	ALIANZA JUNTOS POR EL CAMBIO	351790
COMUNA 14	ALIANZA JUNTOS POR EL CAMBIO	328484
COMUNA 12	ALIANZA JUNTOS POR EL CAMBIO	261116
COMUNA 4	ALIANZA JUNTOS POR EL CAMBIO	180072
COMUNA 11	ALIANZA JUNTOS POR EL CAMBIO	228553
COMUNA 7	ALIANZA JUNTOS POR EL CAMBIO	203392
COMUNA 15	ALIANZA JUNTOS POR EL CAMBIO	189052
COMUNA 6	ALIANZA JUNTOS POR EL CAMBIO	218027
COMUNA 1	ALIANZA JUNTOS POR EL CAMBIO	203026
COMUNA 5	ALIANZA JUNTOS POR EL CAMBIO	181955
COMUNA 10	ALIANZA JUNTOS POR EL CAMBIO	180117
COMUNA 3	ALIANZA JUNTOS POR EL CAMBIO	173883
COMUNA 9	ALIANZA JUNTOS POR EL CAMBIO	163800
COMUNA 8	ALIANZA JUNTOS POR EL CAMBIO	128055
COMUNA 2	ALIANZA JUNTOS POR EL CAMBIO	234255
COMUNA 13	ALIANZA FRENTE DE TODOS	114428
COMUNA 14	ALIANZA FRENTE DE TODOS	112526
COMUNA 12	ALIANZA FRENTE DE TODOS	142547
COMUNA 4	ALIANZA FRENTE DE TODOS	181354
COMUNA 11	ALIANZA FRENTE DE TODOS	134400
COMUNA 7	ALIANZA FRENTE DE TODOS	152095
COMUNA 15	ALIANZA FRENTE DE TODOS	146375
COMUNA 6	ALIANZA FRENTE DE TODOS	121134
COMUNA 1	ALIANZA FRENTE DE TODOS	132924
COMUNA 5	ALIANZA FRENTE DE TODOS	137764
COMUNA 10	ALIANZA FRENTE DE TODOS	127397
COMUNA 3	ALIANZA FRENTE DE TODOS	134713
COMUNA 9	ALIANZA FRENTE DE TODOS	141487
COMUNA 8	ALIANZA FRENTE DE TODOS	160804
COMUNA 2	ALIANZA FRENTE DE TODOS	62987
COMUNA 13	ALIANZA CONSENSO FEDERAL	21784
COMUNA 14	ALIANZA CONSENSO FEDERAL	18510
COMUNA 12	ALIANZA CONSENSO FEDERAL	26804
COMUNA 4	ALIANZA CONSENSO FEDERAL	23029
COMUNA 11	ALIANZA CONSENSO FEDERAL	25597
COMUNA 7	ALIANZA CONSENSO FEDERAL	24132
COMUNA 15	ALIANZA CONSENSO FEDERAL	21801
COMUNA 6	ALIANZA CONSENSO FEDERAL	21377
COMUNA 1	ALIANZA CONSENSO FEDERAL	16661
COMUNA 5	ALIANZA CONSENSO FEDERAL	21747
COMUNA 10	ALIANZA CONSENSO FEDERAL	24542
COMUNA 3	ALIANZA CONSENSO FEDERAL	19732
COMUNA 9	ALIANZA CONSENSO FEDERAL	23961
COMUNA 8	ALIANZA CONSENSO FEDERAL	18499
COMUNA 2	ALIANZA CONSENSO FEDERAL	11663
