Cargo	Agrupacion	Votos
DIPUTADOS PROVINCIALES	SOCIALISTA AUTÉNTICO	12814
DIPUTADOS NACIONALES	SOCIALISTA AUTÉNTICO	11827
DIPUTADOS NACIONALES	RENOVADOR FEDERAL	2158
DIPUTADOS PROVINCIALES	POLÍTICA OBRERA	8960
DIPUTADOS NACIONALES	POLÍTICA OBRERA	7572
DIPUTADOS PROVINCIALES	MOVIMIENTO LIBRES DEL SUR	8172
DIPUTADOS NACIONALES	MOVIMIENTO LIBRES DEL SUR	6893
DIPUTADOS PROVINCIALES	MOVIMIENTO AL SOCIALISMO	5093
DIPUTADOS NACIONALES	MOVIMIENTO AL SOCIALISMO	4517
DIPUTADOS PROVINCIALES	LA LIBERTAD AVANZA	241662
DIPUTADOS NACIONALES	LA LIBERTAD AVANZA	238552
DIPUTADOS PROVINCIALES	JUNTOS POR EL CAMBIO	864351
DIPUTADOS NACIONALES	JUNTOS POR EL CAMBIO	841205
DIPUTADOS PROVINCIALES	FRENTE DE TODOS	448591
DIPUTADOS NACIONALES	FRENTE DE TODOS	430467
DIPUTADOS PROVINCIALES	FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD	114547
DIPUTADOS NACIONALES	FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD	108758
DIPUTADOS PROVINCIALES	FEDERAL	8876
DIPUTADOS NACIONALES	FEDERAL	8728
DIPUTADOS NACIONALES	DIGNIDAD POPULAR	3652
DIPUTADOS PROVINCIALES	AUTONOMISTA	3753
DIPUTADOS NACIONALES	AUTONOMISTA	3480
DIPUTADOS PROVINCIALES	AUTODETERMINACIÓN Y LIBERTAD	46683
DIPUTADOS NACIONALES	AUTODETERMINACIÓN Y LIBERTAD	46280
DIPUTADOS NACIONALES	APTITUD RENOVADORA	7462
DIPUTADOS PROVINCIALES		76443
DIPUTADOS NACIONALES		56011
